代码,名称,GB2,CLSOE2,每股收益,每股净资产,净资产收益率,每股经营现金,每股公积金,每股未分配,股东权益比,净利润同比,主营收入同比,销售毛利率,调整每股净资,总资产,流动资产,固定资产,无形资产,流动负债,长期负债,总负债,股东权益,资本公积金,经营现金流量,投资现金流量,现金增加额,主营收入,主营利润,营业利润,营业外收支,利润总额,净利润,未分配利润,总股本,无限售股合计,A股,64组换手,64组涨幅,64组振幅,64组总量,64组总额,64组上涨%,MACD,BBI,MA,BIAS,KDJ,W&R,PSY,OBV,ASI,BOLL,VSTD,ADTM,ATR
'000720',*ST新能,-0.019,4.19,0.45,1.311,0.41 ,0.226,0.532,-0.332,30.011,1343.263,-33.234,18.059,1.311,563590,511923,7545,746,216419,169482,385901,169140,68612,29200,36905,30839,41569,7006,58845,81,58926,58071,-42848,128965,86346,86346,50.52%,-18.31%,29.75%,4362235,184088.36,46.88,-0.063,4.012,4.066,-12.105,55.273,97.26,41.667,84122944,-968.532,4.054,36881.711,0.054,0.64
'300272',开能环保,0.218,12.29,0.891,2.821,0.37 ,0.0006,0.498,1.163,76.079,3011.825,18.483,30.94,2.775,147628,43912,34165,11985,30427,1938,32365,112314,19838,22,1176,514,16054,4900,37658,76,37733,35491,46318,39819,22209,22209,102.23%,42.74%,96.23%,2270517,241451.98,56.25,0.703,11.599,12.194,-17.325,52.246,80.482,50,9877883,-609.061,10.612,54897.121,0.234,2.19
'600319',亚星化学,-0.119,8.4,0.036,0.139,0.30 ,-0.161,2.696,-3.721,3.073,5366.203,7.747,10.841,0.114,142217,53611,74005,12843,132996,4850,137846,4371,85095,-5069,115,-4558,50554,4911,1134,0,1133,1133,-117439,31559,31559,31559,72.17%,-38.94%,41.27%,2277587,180639.08,40.63,-0.072,7.816,7.928,-27.482,45.377,94.801,58.333,24524692,-1402.944,7.848,24038.686,-0.1,2.8
'600671',天目药业,-0.018,18.48,0.167,0.718,0.26 ,0.282,0.423,-0.904,18.128,755.393,280.983,33.03,0.695,48207,25722,14553,5190,24616,10335,34951,8739,5150,3428,820,3641,9037,2878,-114,3736,3622,2028,-11007,12178,12172,12172,61.21%,-26.67%,36.25%,744991,146229.86,35.94,-0.315,18.281,18.36,-13.615,42.114,95.894,50,15519946,-1710.328,18.397,7713.181,-0.28,2.65
'000717',韶钢松山,0.137,6.49,0.355,1.584,0.25 ,-0.041,1.334,-1.015,27.573,410.419,15.891,16.296,1.584,1389693,393341,783910,19216,978595,27912,1006507,383186,322877,-9918,-23285,-63144,610604,97099,85767,64,85831,85831,-245639,241952,241952,241952,123.53%,-9.70%,35.89%,29889228,2080374.63,50,-0.091,6.682,6.562,-5.431,10.189,94.545,50,144548304,-871.309,6.905,88254.328,-0.423,0.31
'300251',光线传媒,-0.045,11.16,0.68,3.345,0.21 ,0.0068,0.846,1.298,76.071,976.953,-34.249,37.763,3.335,1367238,671434,3626,82,118022,205959,323981,1040074,248304,1991,-33006,-33398,40075,14940,234497,790,235287,199278,439350,293361,275233,275233,114.46%,-15.82%,28.65%,31503946,3877596.75,48.44,-0.198,11.097,11.11,-6.513,41.051,92.593,50,43300456,-538.763,11.229,165925.922,-0.283,0.83
'300618',寒锐钴业,-0.179,162.6,1.33,6.326,0.21 ,0.207,1.879,3.629,45.53,412.517,218.666,53.122,6.313,266753,222828,22214,2985,121253,24048,145302,121452,36078,3982,3678,19338,73734,38128,34188,-2,34186,25483,69681,19200,11398,11398,190.15%,-22.54%,64.23%,2167454,5002342,56.25,-7.932,150.59,146.128,-19.54,33.234,96.5,41.667,1971149,979.785,159.317,20281.045,-0.453,46.5
'300176',鸿特科技,0.196,72,1.089,5.943,0.18 ,0.663,1.093,3.621,48.371,1564.367,184.079,71.07,5.667,274848,166498,89166,5392,125410,16491,141901,132947,31931,13509,-5885,10612,107456,75698,30118,-33,30085,22208,85609,20383,20035,20035,32.41%,25.92%,30.05%,649304,865733.25,54.69,1.097,72.562,73.262,6.637,78.741,3.815,50,4571763,84.66,70.607,4017.122,0.266,6.58
'600516',方大炭素,0.048,28.11,1.059,4.639,0.18 ,0.384,1.283,2.232,74.037,2476.747,408.402,83.14,4.637,1579946,1280555,160942,46299,312038,35576,347614,1169745,229517,68731,34673,99757,352192,286375,243283,-53,243231,189447,739107,178879,171916,171916,246.02%,-10.50%,32.41%,42294836,11697704,56.25,0.62,26.491,27.424,-16.789,53.349,98.971,58.333,193360064,-712.893,25.247,346124.281,0.003,5.34
'600678',四川金顶,0.121,10.35,0.0163,0.0992,0.15 ,-0.0588,0.875,-1.865,7.856,167.217,111.016,26.653,0.0992,44058,7138,16896,8754,4006,36493,40499,3461,30535,-2052,-2725,-2294,5025,1102,563,0,563,570,-65069,34899,34899,34899,36.57%,-11.80%,34.54%,1276094,125266.36,46.88,0.055,10.247,10.286,-0.227,62.589,47.222,50,39805328,-1653.311,10.21,2487.73,0.015,0.17
'002709',天赐材料,-0.077,43.83,1.21,8.331,0.15 ,-0.408,3.158,4.001,67.867,543.426,14.953,24.98,8.283,416979,243847,80558,21070,113651,11233,124884,282992,107275,-13848,-7788,-7178,43613,10473,48480,43,48523,41151,135902,33967,17944,17944,190.79%,-10.41%,37.09%,3423561,1583507.5,48.44,-1.038,42.253,42.41,-11.549,52.702,94.634,50,6290807,-125.393,43.214,25012.951,-0.427,6.73
'002016',世荣兆业,0.128,16.34,0.501,2.846,0.15 ,-0.266,0.168,1.403,41.396,4073.762,610.729,61.606,2.839,696919,629715,17062,763,259781,147650,407431,288496,13558,-21565,27800,23932,93370,48750,47883,-506,47378,40556,171758,80910,64610,64610,287.21%,-9.54%,55.47%,18556748,2556712,51.56,0.629,15.005,15.622,-16.846,51.473,95.055,58.333,47095392,-724.585,14.075,161645.641,0.104,3.63
'000932',华菱钢铁,0.199,8.25,0.509,3.938,0.14 ,0.492,2.33,0.326,15.585,398.741,11.169,16.235,3.938,7619419,3147370,3914691,388957,4563501,1408982,5972483,1187492,702743,148354,-144997,-113856,1998298,304188,191373,28,191401,153394,98282,301565,301535,301535,123.71%,-9.68%,44.07%,37302608,3269290.25,48.44,0.016,8.28,8.224,0.647,27.354,69.136,58.333,126632768,-1070.95,8.179,152017.969,0.26,0.25
'601003',柳钢股份,0.479,6.6,0.408,2.717,0.14 ,0.504,0.0813,1.153,36.622,416.295,25.493,12.512,2.717,2251592,1241711,955851,1082,1362424,64582,1427006,824586,20844,129199,1456,-32124,1135041,136476,123030,29,123059,104601,423581,256279,256279,256279,72.78%,1.98%,46.19%,18652424,1328354.63,50,0.178,6.849,6.822,5.659,33.268,36.275,41.667,53252780,-509.232,6.617,86900.023,0.463,0.99
'600230',沧州大化,-0.119,27.35,0.966,7.279,0.14 ,0.164,1.273,4.537,71.718,-6.381,9.203,60.187,7.279,438532,196288,213965,17039,85148,2426,87573,314505,64218,6756,-111,-10302,116948,68727,61614,22,61636,39770,201556,41186,41186,41186,98.99%,-32.33%,34.60%,4077035,1737395,50,-0.942,26.365,26.299,-15.331,49.786,97.557,50,30810976,-1522.495,27.354,14358.448,-0.559,5.14
'600309',万华化学,0.332,36.44,1.3,9.771,0.13 ,1.313,0.875,6.863,40.22,61.532,23.574,43.03,9.767,6642334,2516593,2773772,248678,2827583,736938,3564521,2671536,239293,359000,-170029,-36218,1360191,570335,518824,-379,518445,354572,1876471,273401,273401,273401,108.46%,27.62%,32.30%,29652966,11674529,51.56,0.392,37.801,38.156,16.081,53.732,9.286,41.667,60447672,-1147.369,36.968,138164.109,0.346,8.37
'600802',福建水泥,0.16,8.03,0.226,1.79,0.13 ,0.08,0.56,-0.853,17.439,298.633,41.569,29.566,1.527,391181,63776,214858,36713,261637,15329,276966,68217,21390,3168,4577,-12039,50303,13798,11080,8,11087,8648,-32575,38187,38187,38187,154.62%,9.57%,36.52%,5904643,453173.31,53.13,0.149,7.939,8,-7.769,32.658,87.805,41.667,78904976,-1194.423,7.784,86966.406,0.091,0.65
'603799',华友钴业,-0.048,115.94,1.44,11.393,0.13 ,-0.272,4.861,5.572,34.646,237.963,96.358,35.114,11.364,1948962,1354881,359957,64986,1130971,137585,1268555,675238,288117,-16104,-32600,94331,343072,117987,90646,-178,90469,85052,330215,59268,58563,58563,215.47%,-1.37%,54.65%,12618723,13977210,56.25,-2.344,105.111,103.952,-11.637,42.007,95.758,50,22980878,373.577,106.59,89072.633,-0.367,25.36
'300571',平治信息,0.288,58.347,0.396,3.033,0.13 ,0.377,0.0859,1.862,56.062,118.125,12.375,43.612,3.015,68695,47278,5068,6701,23361,4850,28211,38512,5035,4538,-365,-4005,23384,10089,7375,-20,7356,4772,24413,12037,6894,6894,142.14%,72.13%,86.80%,979971,753217.31,53.13,2.316,58.651,60.089,11.921,75.442,11.399,66.667,205845,617.175,55.616,5397.67,0.386,11.153
'002893',华通热力,0.026,26.96,0.71,5.659,0.13 ,-2.072,2.172,2.409,45.989,-24.009,7.313,23.656,3.092,147669,68297,38443,392,69967,8383,78351,67911,26067,-24860,-2688,-29267,55447,13094,11201,24,11225,8567,28904,12000,3000,3000,1191.29%,-31.88%,47.55%,3573861,958832.69,54.69,-0.026,26.618,26.704,-10.972,32.975,95.122,50,1448973,269.992,26.874,27370.283,-0.272,3.31
'002626',金达威,0.071,19.12,0.55,4.123,0.13 ,0.328,1.436,1.566,79.199,409.962,79.63,66.942,4.101,352059,191047,48172,20956,34007,38574,72581,278829,88528,20213,6179,19180,75518,49675,38724,1442,40166,33801,121185,61648,60013,60013,94.03%,-0.24%,37.37%,5642834,1048047.25,53.13,0.215,18.357,18.688,-11.906,52,98.784,41.667,8285197,-455.074,17.85,34246.285,-0.183,2.61
'600338',西藏珠峰,-0.24,29.76,0.34,2.862,0.13 ,0.351,0.0342,2.829,46.679,-26.85,-3.678,71.118,2.851,400380,258801,94930,168,135676,77811,213487,186893,2236,22947,-118733,-45220,55488,36307,25877,-4,25873,22375,184702,65301,15833,15833,163.61%,-43.58%,58.17%,2590415,871154.75,42.19,-1.559,28.533,27.794,-27.594,21.33,98.214,25,13411148,-2007.944,30.171,11910.094,-0.619,9.63
'600809',山西汾酒,0.306,62.27,0.82,6.87,0.12 ,0.282,0.28,4.982,56.888,51.819,48.557,70.949,6.862,1045564,767903,173288,22960,433643,1513,435156,594799,24214,24425,-12502,11923,323987,176934,106258,-43,106214,71007,431319,86585,86585,86585,44.78%,-4.31%,26.04%,3877187,2184990.5,53.13,1.575,59.485,61.512,1.876,84.59,14.198,75,31719820,-1244.486,56.895,22598.211,0.285,2.07
'603595',东尼电子,-0.288,103.8,0.86,8.062,0.11 ,-0.255,4.39,3.19,58.911,402.696,210.955,48.452,8.038,139613,80011,44249,6415,49080,8285,57365,82248,44781,-2597,-6426,-1593,29493,14002,10163,330,10492,8793,32542,10202,2500,2500,223.71%,-21.52%,64.48%,559275,573290,60.94,-4.189,98.933,95.776,-31.19,27.015,97.251,41.667,876571,1550.069,106.899,2288.245,-0.536,38
'002304',洋河股份,0.366,129.45,2.31,19.327,0.11 ,1.255,0.492,17.349,74.312,26.693,25.683,74.785,19.326,4436392,2901970,815032,165524,1109417,32142,1141558,3296776,74170,189176,-54244,132806,953759,558673,467386,400,467786,347515,2998709,150699,124219,124219,22.10%,-0.17%,27.74%,2745060,3220441.75,42.19,5.274,123.379,127.87,-0.869,81.93,20.962,58.333,3576197,-1405.236,114.562,15938.224,0.628,4.68
'603260',合盛硅业,0.196,73.069,0.94,9.024,0.11 ,-0.231,3.387,4.527,39.914,132.262,55.25,43.695,9.024,1514759,522198,500081,45243,692929,211307,904237,604598,226937,-15479,-7751,-6523,224550,92882,74450,-11,74439,63012,303295,67000,6730,6730,599.14%,3.60%,39.24%,4032398,2594494.5,51.56,2.001,71.35,72.489,-5.925,50.353,59.516,50,257929,542.979,69.083,24257.242,0.388,5.069
'002027',分众传媒,0.011,9.792,0.0987,0.946,0.11 ,0.0559,0.0152,0.891,73.683,9.099,22.276,68.939,0.946,1570876,1105173,39982,3127,290210,105463,395673,1157465,18621,68347,-46296,-58305,295958,193925,145529,-547,144983,120746,1089310,1223157,580407,580407,83.79%,-21.41%,38.04%,48633164,6029040.5,39.06,-0.222,9.42,9.479,-2.124,60.935,44.176,41.667,44395632,-377.664,9.369,462553.25,-0.125,0.612
'300107',建新股份,0.636,14.14,0.208,2.01,0.11 ,0.172,0.322,0.635,90.941,2233.252,176.057,59.946,2.01,120865,74763,42459,809,10548,401,10949,109916,17607,9421,-17664,-8206,27358,16141,13436,-92,13344,11388,34722,54673,33024,33024,846.89%,58.92%,88.26%,27968014,2803914,57.81,1.292,12.875,13.862,-0.659,84.777,15.551,66.667,27462964,-365.516,10.991,234482.141,0.714,0.52
'002168',深圳惠程,-0.123,13.76,0.19,1.837,0.11 ,0.0133,0.59,0.579,43.618,2907.63,1035.263,76.821,1.817,345500,115931,9875,952,116721,71937,188657,150700,48425,1089,11030,3065,60406,46263,19113,44,19158,15616,47507,82059,78376,78376,161.79%,-29.02%,49.04%,12680272,1960440.75,54.69,-0.434,14.857,14.542,-30.435,18.946,98.878,50,40937500,-707.44,15.733,70291.258,-0.352,3.52
'600507',方大特钢,-0.201,13.51,0.42,2.494,0.11 ,0.179,0.0466,0.941,28.151,95.676,40.151,29.219,2.324,1174648,757410,242419,108754,806141,7464,813606,330671,6177,23681,-7107,204557,386286,109711,74644,666,75310,55749,124732,144987,132609,132609,207.59%,-26.83%,59.39%,27528968,4504606,43.75,-0.45,12.925,12.75,-21.722,40.729,96.796,41.667,78625152,-279.269,13.317,65875.164,-0.264,3.56
'000952',广济药业,0.033,14.49,0.337,3.244,0.11 ,0.108,0.242,1.691,49.334,247.577,43.627,69.24,3.242,171100,51269,87696,16277,75808,10075,85883,84411,6079,2715,-1826,-1096,24485,16344,11684,-75,11609,8694,45322,25171,25170,25170,131.82%,8.22%,40.47%,3317836,452319.78,51.56,-0.038,13.782,14.098,-4.731,61.479,51.117,50,30678456,-2483.259,13.952,49695.719,-0.293,1.34
'300554',三超新材,-0.176,55.411,0.561,5.508,0.11 ,-0.184,2.34,2.028,84.667,496.451,250.942,55.754,5.495,62122,42154,17610,995,8253,1272,9525,52597,26058,-1719,-3079,-4899,13858,7624,6193,-4,6189,5252,20025,9360,4659,4659,135.34%,-23.28%,63.29%,630548,532931.81,59.38,0.044,50.75,50.645,-35.267,50.978,98.681,58.333,670567,248.531,51.667,2043.836,-0.297,22.411
'002207',*ST准油,-0.251,7.35,-0.07,1.402,0.10 ,-0.0832,0.922,-0.737,49.912,-125.705,36.394,-21.847,1.402,67201,23779,11866,883,31056,2603,33659,33541,22059,-1990,-552,-4961,2838,-639,-1601,-4,-1605,-1610,-17628,23918,23728,23728,86.85%,-46.70%,50.84%,2060736,166080.88,40.63,-0.299,7.166,7.004,-33.333,25.631,98.137,16.667,10844473,-1115.66,7.575,16614.695,-0.693,2.65
'600995',文山电力,-0.003,8.04,0.39,3.848,0.10 ,0.472,0.325,2.155,67.552,97.511,-4.916,47.145,3.847,279648,54999,192375,6835,43331,47408,90739,188909,15561,22600,-2588,12962,55766,25506,21803,111,21914,18726,107891,47853,47853,47853,64.73%,-13.34%,24.79%,3097401,262936.16,45.31,-0.079,7.955,7.998,-8.574,40.984,93.913,50,45264312,-1078.016,7.945,18236.301,-0.308,0.77
'000553',沙隆达Ａ,0.218,16.32,0.831,8.301,0.10 ,-0.0882,5.302,2.171,50.955,166.422,2.457,34.747,8.301,3985539,2232261,595065,579955,1021663,933050,1954712,2030827,1297291,-21582,4551,-226706,649951,222966,257253,215,257468,203203,531193,244655,53095,36390,106.34%,10.33%,28.41%,3869719,608014.44,48.44,-0.05,15.834,15.848,-2.586,47.475,64.646,41.667,40589388,-1329.769,15.981,30479.777,-0.032,1.02
'000848',承德露露,0.284,10.38,0.22,1.765,0.10 ,0.0274,0.0177,0.382,80.826,10.99,13.19,52.943,1.765,274290,212934,25763,31453,44183,4927,49110,221698,1731,2678,-392,2256,89559,46196,29537,1,29538,21862,86277,97856,97836,97836,46.44%,6.89%,25.19%,4543771,433850.59,56.25,0.326,9.953,10.192,-2.424,71.887,43.507,66.667,21074216,-793.952,9.473,30042.051,0.468,0.55
'000629',*ST钒钛,0.127,3.03,0.0545,0.556,0.10 ,0.017,0.645,-1.258,46.092,110.606,44.832,23.581,0.518,1035902,420822,440597,32662,463900,69196,533096,477468,553947,14578,-1237,-6778,318592,72322,54648,-439,54209,46773,-1080201,858975,476715,476715,78.44%,24.80%,41.06%,37393284,972717.63,50,0.153,2.925,3.106,-0.379,77.237,24.096,75,249856544,-573.867,2.69,731585.938,0.515,0.13
'002001',新 和 成,0.062,21.512,0.695,6.772,0.10 ,0.183,2.107,3.373,78.844,544.558,148.003,73.437,6.772,1957680,1237242,488012,84357,302304,107181,409484,1543512,541256,39365,-491783,-479368,304545,219214,180035,-24,180012,149371,813160,214866,182412,182412,66.30%,-20.79%,32.45%,12093619,4337044,51.56,0.093,20.087,20.441,-16.618,57.4,97.647,58.333,37278704,-792.851,19.611,86803.773,-0.206,4.452
'600566',济川药业,0.157,49.46,0.577,5.847,0.10 ,0.679,1.918,3.237,65.671,60.583,51.451,84.667,5.842,741371,439520,160504,21813,176263,78243,254506,486864,155323,54967,-9763,45185,212761,176037,52798,1439,54237,46683,262111,80973,80973,80973,36.51%,22.48%,46.02%,2956655,1369319,51.56,1.063,49.742,50.24,-7.077,40.544,98.333,41.667,16106837,-1391.667,48.945,23098.607,0.176,2.76
'000830',鲁西化工,0.093,18.57,0.535,5.557,0.10 ,0.338,1.491,2.787,38.591,240.256,31.976,30.389,5.557,2870001,368680,1939564,141966,1553690,185055,1738744,1107562,218405,49544,-91263,14894,489329,145016,106070,237,106306,81732,452151,146486,146398,146398,327.75%,-25.20%,42.74%,47982480,9247475,51.56,0.192,18.124,18.57,-9.615,48.193,88.034,58.333,137057280,-776.503,17.54,290965.531,0.265,1.71
'600729',重庆百货,0.241,35.53,1.29,12.97,0.10 ,0.665,0.992,10.239,41.253,43.48,9.656,18.625,12.56,1337239,802908,304912,38005,741867,27074,768941,551653,40337,27043,49214,73966,1006300,180058,61665,45,61710,52290,440624,40653,40643,40643,81.04%,25.25%,58.73%,3293706,965574.19,54.69,1.958,33.943,35.316,-8.81,53.786,62.383,50,13364919,-2938.687,31.675,22693.5,0.381,3.53
'603027',千禾味业,0.243,20.36,0.337,3.598,0.10 ,0.159,0.883,1.577,82.416,193.182,-3.013,43.707,3.597,142318,78070,42350,5447,22857,2168,25024,117294,28800,5173,-14106,994,24535,10405,12976,14,12991,10995,51391,32599,13319,13319,123.33%,24.24%,38.58%,1642669,309770.5,59.38,0.429,20.006,20.41,3.239,81.755,12.251,58.333,1639325,88.574,19.673,12996.456,0.253,0.92
'000018',神州长城,-0.333,3.43,0.129,1.39,0.10 ,0.477,-0.765,1.014,19.988,120.665,-12.872,24.768,1.383,1180655,1012880,31994,17653,790540,142154,932694,235991,-129935,80968,-8181,10322,92344,22810,6665,18808,25474,21852,172163,169825,101694,75314,144.67%,-45.81%,50.90%,10895410,525711.19,37.5,-0.705,3.896,3.318,-1.639,11.403,95.27,16.667,5872282,-955.381,5.045,483737.969,-0.849,0.17
'600398',海澜之家,0.189,12.89,0.25,2.742,0.10 ,0.243,0.452,1.722,44.742,11.974,12.159,39.9,2.713,2753167,1969778,312152,49774,1390134,131201,1521335,1231832,203271,109305,-41666,57174,578625,226568,154256,953,155209,113094,773776,449276,449276,449276,34.69%,16.72%,34.22%,15585032,1910485.38,50,0.38,12.353,12.7,-7.463,53.372,71.73,50,55947772,-773.601,11.71,59432.316,0.466,1.19
'002711',欧浦智网,-0.326,9.45,0.16,1.721,0.10 ,-0.0968,0.0013,0.62,51.151,249.575,22.274,7.776,1.706,355337,256434,24570,22975,156915,3291,160206,181758,142,-10220,4162,-8215,116178,8742,20486,-5,20481,16662,65434,105607,104853,104853,76.27%,-45.97%,52.06%,7997007,805561.56,37.5,-0.469,9.079,8.824,-38.776,18.786,100,33.333,8132808,-269.901,9.749,37191.328,-0.85,3.95
'300601',康泰生物,0.679,58.934,0.173,1.955,0.09 ,,0.653,0.512,46.217,290.608,176.252,91.069,1.927,279076,150465,45929,12420,87702,62394,150096,128980,54028,-1,-7040,29048,40331,36555,12567,392,12960,10988,45957,63387,23970,23970,96.42%,117.34%,143.54%,2311214,1432138.25,60.94,5.382,55.977,59.985,11.746,83.287,6.424,58.333,1102301,970.46,48.486,16614.066,0.757,8.446
'600779',水井坊  ,0.389,49.17,0.317,3.552,0.09 ,-0.191,0.818,0.944,58.009,68.013,87.733,80.791,3.534,299108,229301,41568,6254,123292,2306,125597,173511,39951,-9314,-2391,-11705,74834,49658,21023,43,21066,15483,46138,48855,48855,48855,78.47%,25.89%,37.32%,3833817,1679636.5,64.06,1.494,47.336,49.212,10.587,89.238,2.254,83.333,44912824,-1751.399,44.983,17461.922,0.364,5.13
'600641',万业企业,0.103,12.8,0.71,7.361,0.09 ,0.208,0.237,4.843,75.395,387.769,250.954,65.128,7.356,854766,795037,231,82,207549,2763,210312,644454,19126,16804,145965,162769,138472,75618,76409,159,76568,57242,441474,80616,80616,80616,65.57%,-8.50%,23.86%,5286278,683633.13,51.56,0.098,12.652,12.734,0.906,58.413,24.876,58.333,55033048,-1469.329,12.518,55145.809,0.263,0.24
'603369',今世缘  ,0.544,21.12,0.404,4.349,0.09 ,0.119,0.572,2.455,79.797,31.787,31.11,74.346,4.336,722990,482655,75820,10991,142468,1716,144184,576926,71709,14902,-22465,-7530,149019,89894,67847,-169,67678,50906,339304,125450,125450,125450,53.21%,38.93%,51.84%,6675029,1173120.38,59.38,1.297,19.995,21.246,1.709,89.101,10.277,83.333,9540543,-74.943,18.136,82022.125,0.624,1.03
'000537',广宇发展,-0.138,12.62,0.5,5.557,0.09 ,-0.216,1.518,2.986,14.453,589.83,135.4,35.04,5.551,7329021,6640481,194870,90867,4788761,1481033,6269794,1059228,282716,-40311,-9391,-96129,443168,114697,99798,463,100261,93362,580391,186252,40595,40595,211.43%,-43.49%,47.04%,8582849,1130131.63,45.31,-0.235,11.91,11.894,-22.949,57.092,97.753,66.667,78099104,-1629.536,12.168,16261.034,-0.404,3.45
'603103',横店影视,0.119,33.31,0.42,4.543,0.09 ,0.638,1.667,1.68,68.38,63.753,39.914,33.015,3.225,316213,152183,82440,178,78310,21675,99985,216228,75498,28906,-18174,-2328,93102,26376,24367,156,24524,18866,86527,45300,5300,5300,710.09%,-5.09%,34.01%,3763485,1234962.88,54.69,0.483,32.582,33.344,-5.47,55.808,61.197,50,1080528,-34.339,31.632,13868.896,-0.108,1.86
'300401',花园生物,0.113,22.34,0.254,2.871,0.09 ,0.204,0.333,1.422,90.594,493.548,171.656,68.542,2.871,154868,104423,39266,6849,14178,388,14567,140302,44697,9762,-39251,-26674,23550,15978,14107,151,14258,12190,70837,47929,42995,42995,89.00%,14.12%,35.97%,3826721,1507977.5,60.94,0.463,20.664,21.106,-6.887,55.475,78.671,50,5632761,-69.083,19.883,84376.961,0.064,3.08
'000040',东旭蓝天,-0.075,12.909,0.811,9.357,0.09 ,-0.376,6.636,1.577,46.589,2909.079,29.343,21.422,9.255,2697465,1777928,329797,6610,690150,749130,1439280,1256712,887362,-50302,138536,92740,106613,22196,127661,-6,127655,108428,216390,133717,105164,105164,25.99%,-16.39%,37.21%,2733278,328962.16,51.56,0.07,12.009,12.345,-23.625,55.252,98.104,50,59374176,-1481.613,11.729,44972.684,-0.055,3.509
'300467',迅游科技,-0.165,40.495,0.23,13.577,0.09 ,0.295,12.082,0.879,85.469,232.125,319.181,84.752,13.573,360903,64353,2125,10131,51470,1692,53162,308459,273792,6692,-8351,-2479,17487,14778,5790,21,5811,5185,20721,22661,11632,11632,98.10%,-22.72%,35.65%,1141022,456832.75,53.13,-0.527,39.257,39.238,-21.11,44.267,97.127,50,49688,-667.973,39.857,5782.257,-0.433,9.565
'000858',五 粮 液,0.205,78.32,1.281,15.488,0.09 ,0.618,0.691,10.987,73.204,38.348,36.804,73.193,15.457,7964791,7189969,521028,40523,1948191,27770,1975960,5830510,95326,239803,-14836,224954,1389766,821732,689363,975,690338,497101,4264630,388161,379577,379577,53.55%,-13.69%,24.10%,20325204,14784023,43.75,1.352,74.412,76.246,-6.025,64.006,61.594,58.333,107226496,-2311.668,71.598,76293.938,-0.162,7.27
'000735',罗 牛 山,0.331,10.7,0.288,3.355,0.09 ,0.0121,1.38,0.894,59.617,284.81,-63.639,16.973,3.342,648092,184336,194502,32269,128395,121935,250330,386373,158897,1397,-12088,-11471,19784,2876,33335,9,33344,33134,102908,115151,105960,105960,522.59%,61.32%,84.95%,55373724,5404162.5,60.94,0.57,10.829,11.664,13.739,82.012,5.797,58.333,187589200,-646.613,10.03,1257291.25,0.377,2.55
'600519',贵州茅台,0.19,765.56,6.77,68.573,0.09 ,3.929,1.094,59.466,74.371,38.931,31.239,91.305,68.433,13440494,11178139,1517934,343745,2923969,1557,2925526,9995795,137496,493550,-59191,434358,1746617,1342200,1217768,-515,1217253,850691,8851821,125620,125620,125620,21.62%,-2.73%,21.68%,2716107,19511324,43.75,7.796,752.828,753.214,-5.276,36.393,88.033,25,7516141,411.178,748.418,12101.327,0.152,65.56
'600083',博信股份,0.06,20.93,0.0259,0.305,0.09 ,-0.0011,0.416,-1.136,33.939,1188.457,3111.43,2.542,0.305,20688,20491,119,5,13630,37,13667,7021,9574,-26,-47,-73,47969,1183,838,0,838,597,-26133,23000,22799,22799,27.58%,1.68%,20.82%,628825,126622.36,43.75,-0.015,20.59,20.516,-5.53,34.916,96.25,25,16205404,-1635.539,20.656,13448.491,-0.406,1.63
'300444',双杰电气,0.102,9.272,0.361,4.246,0.09 ,-0.43,1.722,1.537,40.773,776.472,117.29,28.524,4.229,338938,199811,52313,18736,136973,35264,172238,138196,56036,-13997,-9700,-27446,25335,7090,11098,-6,11092,11587,50032,32550,16542,16542,146.20%,-25.63%,44.55%,2418431,433142.19,45.31,-0.383,9.369,9.347,-1.53,48.926,31.289,50,4448471,-362.737,9.647,23581.477,-0.325,0.8
'300174',元力股份,-0.141,27.63,0.212,2.502,0.09 ,0.136,0.589,0.814,40.598,304.359,154.97,25.615,2.439,153863,50809,32468,7396,78209,2249,80459,62465,14408,3324,-12917,-6623,47067,11811,6339,-61,6278,5183,21157,24480,22109,22109,16.97%,-25.03%,45.10%,375123,108433.04,43.75,-0.682,26.495,26.392,-20.684,46.109,96.534,41.667,4191562,-27.844,27.03,5022.186,-0.379,6.72
'000596',古井贡酒,0.709,90.69,1.15,12.945,0.09 ,0.385,2.572,8.791,61.048,42.504,17.801,79.733,12.812,1150339,766068,176240,68773,393197,15587,408784,702253,129541,19397,7497,26894,255988,166564,78009,591,78600,58108,493073,50360,50360,38360,47.23%,55.48%,69.52%,1811682,1432289,53.13,2.88,89.495,89.534,1.315,52.935,41.835,58.333,14200029,-996.383,87.918,13777.911,-0.13,2.7
'002460',赣锋锂业,-0.13,46.96,0.321,3.587,0.09 ,-0.122,0.731,1.804,51.835,162.601,67.974,46.078,5.48,828778,466500,80018,29557,283182,115719,398901,429600,118661,-13640,-67514,-94795,105009,47839,42202,3,42205,35832,230844,111489,78642,78642,237.67%,-5.47%,58.60%,18690746,13114059,51.56,-0.771,43.941,44.551,-18.614,55.294,94.262,58.333,43177748,83.51,44.174,122940.125,-0.411,11.36
'300121',阳谷华泰,0.09,14.38,0.27,3.808,0.08 ,-0.0855,1.733,1.055,66.165,197.051,46.954,36.297,3.802,232901,169060,42757,7525,74137,4665,78802,154100,65015,-3206,-2532,41656,52385,18332,12822,100,12921,10150,50822,37513,35673,35673,99.23%,4.97%,35.49%,3539971,487404.63,51.56,0.287,14.018,14.398,-6.894,52.735,69.343,50,9164627,-474.855,13.587,27513.541,0.011,1.18
