代码,名称,GB2,CLSOE2,每股收益,每股净资产,净资产收益率,每股经营现金,每股公积金,每股未分配,股东权益比,净利润同比,主营收入同比,销售毛利率,调整每股净资,总资产,流动资产,固定资产,无形资产,流动负债,长期负债,总负债,股东权益,资本公积金,经营现金流量,投资现金流量,现金增加额,主营收入,主营利润,营业利润,营业外收支,利润总额,净利润,未分配利润,总股本,无限售股合计,A股,64组换手,64组涨幅,64组振幅,64组总量,64组总额,64组上涨%,MACD,BBI,MA,BIAS,KDJ,W&R,PSY,OBV,ASI,BOLL,VSTD,ADTM,ATR
'002589',瑞康医药,-0.033,14.25,0.186,5.341,0.04 ,-1.561,2.632,1.649,27.6,-4.022,43.195,18.54,5.309,2911673,2276295,142168,14767,1731006,168607,1899614,803607,395984,-234814,-83907,-73637,712935,130309,48742,-290,48452,28029,248083,150471,108466,108466,62.49%,0.54%,34.94%,6778316,989318.63,50,-0.149,14.523,14.468,-9.952,30.835,99.582,41.667,554717,-242.155,14.896,43745.176,-0.532,1.14
'603968',醋化股份,0.038,17.94,0.23,6.372,0.04 ,0.0196,1.941,2.755,70.328,2.226,21.6,19.871,6.372,196317,117461,59563,10019,47632,10619,58251,138066,39697,401,2436,8741,51374,9755,5540,3,5543,4801,64102,20448,20448,20448,22.96%,-1.30%,16.52%,469541,88464.8,46.88,-0.177,18.037,18.036,-3.395,46.838,94.118,41.667,2298330,-673.316,18.291,2692.276,-0.566,0.55
'603686',龙马环卫,0.048,22.445,0.26,7.413,0.04 ,-1.19,3.47,2.697,58.836,19.787,15.287,26.377,7.385,377063,315779,52318,2460,132930,7783,140712,221848,103845,-35616,11471,-24624,76805,20008,9682,-21,9661,7722,80704,29900,26998,26998,33.81%,-3.12%,17.01%,912923,216719.91,50,-0.265,22.723,22.758,-1.233,45.87,58.725,50,1470055,-364.416,23.105,9230.561,-0.469,0.345
'601101',昊华能源,0.051,6.81,0.22,6.471,0.04 ,0.642,2.727,1.761,37.292,-13.224,-8.863,52.247,6.471,2082187,379229,569001,795936,361122,504595,865718,776479,327218,77089,-16680,41464,144613,67202,40017,-645,39372,26969,211356,120000,120000,120000,75.08%,-22.90%,39.23%,9009034,699618.38,46.88,-0.086,6.684,6.714,-7.384,51.876,96.203,58.333,33032808,-783.728,6.696,24217.949,-0.127,0.61
'603096',新经典  ,0.228,87.77,0.41,11.172,0.04 ,-0.914,6.946,3.028,85.422,20.025,6.313,49.352,11.17,185575,171760,600,43,23435,122,23557,158522,93536,-12301,2402,-9923,20954,10322,7328,6,7334,5492,48859,13466,5262,5262,71.62%,38.80%,55.36%,376854,281227.19,53.13,3.118,84.02,86.518,-0.793,79.661,25.723,66.667,597650,822.506,80.142,2726.611,0.102,3.02
'603518',维格娜丝,-0.008,22.37,0.37,12.098,0.04 ,0.565,7.079,4.013,33.708,119.645,142.404,68.949,11.519,656476,217992,9938,152473,132533,280120,412653,221284,127806,10196,-19393,-11491,75401,51700,9953,501,10454,6513,75316,18055,14798,14798,62.83%,-15.30%,27.38%,929736,207137.25,54.69,-0.043,21.492,21.834,-11.849,58.784,96.429,66.667,943917,-1246.063,21.409,4991.928,-0.184,3.22
'300437',清水源,0.104,18.05,0.229,5.602,0.04 ,-0.604,2.942,1.459,38.006,453.698,165.069,37.85,5.557,328116,190145,28762,35499,146653,35667,182320,124705,64223,-13196,-14541,1814,32965,12259,7811,-200,7611,4998,34256,21832,12716,12716,122.52%,8.22%,43.30%,1558039,261640.89,46.88,0.258,17.894,17.806,-12.678,28.758,96.203,50,910658,-378.18,18.09,12093.801,-0.378,2.53
'300452',山河药辅,0.036,17.093,0.114,3.151,0.04 ,-0.064,0.478,1.457,66.655,35.73,44.521,31.081,3.151,68588,39891,13460,3854,14002,2788,16790,45717,11290,-891,-1266,-2351,10854,3251,1885,234,2120,1583,22135,13920,10755,10755,131.56%,-10.27%,56.46%,1414957,374167.88,51.56,0.001,17.196,17.027,-19.75,32.654,94.759,33.333,574077,-787.403,17.837,10056.418,-0.456,3.493
'300124',汇川技术,-0.007,34.53,0.12,3.434,0.04 ,-0.0568,0.815,1.595,62.308,13.945,24.731,45.541,3.424,917187,690388,73223,29506,299705,16876,316582,571484,135652,-9449,14635,-3538,97525,43494,21707,161,21868,19650,265508,166416,122763,122763,58.68%,12.54%,39.52%,7203151,2335810.75,56.25,0.139,32.788,33.03,-7.56,54.971,92.89,50,12303213,-634.86,32.387,30542.66,0.067,4.23
'603839',安正时尚,0.213,18.164,0.32,9.239,0.04 ,-0.0166,3.842,4.096,85.394,30.094,26.845,68.708,9.142,312555,217071,54071,6865,32874,12778,45652,266903,110990,-481,-13825,-14345,39124,26262,10748,0,10749,9194,118324,40466,10447,10447,80.79%,2.54%,28.90%,843953,194422.14,56.25,0.572,17.235,17.851,-3.962,72.392,43.006,75,1600195,-243.617,16.308,13204.01,0.662,1.114
'603365',水星家纺,0.068,24.52,0.27,7.405,0.04 ,-0.327,3.373,2.685,84.513,24.581,24.794,36.424,7.378,249447,204435,25252,12804,37506,1126,38633,210814,89943,-8712,-48783,-60506,59679,21404,8804,16,8820,7251,84947,26667,6667,6667,249.05%,-8.66%,29.44%,1660400,398155,56.25,-0.141,24.121,24.324,-7.797,48.88,85.448,41.667,8246,-73.752,24.556,8707.757,0.03,2.37
'002727',一心堂,0.302,30.23,0.231,6.437,0.03 ,-0.447,2.483,2.682,53.286,35.007,20.122,40.822,5.713,717833,505151,49501,8067,253834,81161,334995,382508,140971,-25356,-84101,-120732,217859,87231,15956,-5,15951,13131,169303,56777,26746,26746,149.37%,51.55%,62.75%,3995123,1043101.5,62.5,1.415,30.021,30.864,-2.078,58.202,27.26,66.667,4783343,-51.374,28.163,23968.498,0.387,0.8
'603501',韦尔股份,0.058,36.84,0.09,2.805,0.03 ,-0.424,2.126,1.196,39.929,19.221,105.973,27.89,2.804,320183,273671,18858,5631,183843,7626,191468,127846,96924,-19333,-3019,-17991,82028,22730,6611,21,6633,4288,54539,45581,13657,13657,256.83%,16.18%,55.44%,3507389,1308268.63,50,-0.37,37.937,37.454,0.071,30.768,57.166,41.667,1149488,579.464,38.787,11529.391,-0.005,1.72
'300009',安科生物,-0.008,20.41,0.0597,1.637,0.03 ,0.0394,0.132,0.552,74.029,26.189,40.489,81,1.622,234978,78392,43495,13832,43252,9428,52680,173952,41688,3932,-8460,-4576,27972,22333,7087,-79,7008,5955,65784,99747,65493,65493,135.52%,7.07%,48.11%,8875499,2193637.75,53.13,0.286,19.785,20.136,-15.68,50.07,97.881,41.667,11054797,-453.011,19.469,86523.531,-0.15,3.41
'000650',仁和药业,0.372,5.54,0.086,2.415,0.03 ,0.0139,0.238,1,71.638,34.05,26.015,41.841,2.412,434820,253872,65274,36848,74707,1181,75888,311496,29476,1715,-4153,-2828,104407,42515,14889,44,14933,10640,136192,123834,123800,123800,56.23%,25.81%,38.51%,6961072,368228.22,50,0.237,5.599,5.756,8.774,72.787,5.66,58.333,41823488,-565.637,5.243,103543.32,0.663,0.79
'000683',远兴能源,0.146,3.03,0.08,2.302,0.03 ,0.0456,0.44,0.814,40.832,87.806,1.439,41.149,2.292,2236337,633035,909474,93276,1048828,109067,1157894,913135,174413,18083,-26907,-33721,226259,85298,49433,-22,49411,31146,323037,396717,283281,283281,61.82%,-1.45%,22.10%,17513418,501482.69,46.88,0.05,2.93,2.976,-9.333,45.124,97.872,41.667,105067400,-736.372,2.849,405493.313,0.026,0.32
'600475',华光股份,-0.027,12.41,0.268,8.247,0.03 ,-0.616,0.335,6.431,44.939,2.882,22.448,17.352,8.141,1026599,598428,191856,17153,504092,17534,521626,461339,18733,-34453,-2450,-20816,115787,19618,17944,-6,17938,15001,359767,55939,14050,14050,72.21%,-17.83%,26.23%,1014588,126367.4,54.69,-0.067,11.964,12.042,-14.368,55.491,98.765,58.333,20312866,-2380.204,11.938,13686.438,-0.068,2.07
'300439',美康生物,0.206,24.765,0.19,5.02,0.03 ,-0.304,1.732,2.287,52.116,45.609,45.183,47.97,4.845,334235,180327,33132,18676,143536,2656,146192,174189,60103,-10537,-11830,-8190,46075,21954,7846,10,7856,6428,79357,34696,19931,19931,88.68%,20.23%,55.66%,1767428,386405.66,57.81,0.922,24.1,24.434,-12.18,36.071,97.409,50,2440688,-1244.513,23.304,14542.519,0.354,3.255
'603188',亚邦股份,-0.129,11.29,0.197,5.278,0.03 ,0.184,0.761,3.108,60.086,-38.487,-22.691,46.064,5.278,505974,201545,218337,20328,178134,8595,186729,304019,43837,10577,-41918,-9219,64785,28978,13287,-181,13106,11350,179007,57600,57600,57600,56.09%,-40.37%,43.35%,3230588,444249.28,46.88,-0.711,11.631,11.09,-12.352,12.726,97.911,41.667,6321552,-951.732,12.605,31440.998,-0.638,1.59
'002734',利民股份,-0.118,14.629,0.21,5.902,0.03 ,-0.162,3.481,1.319,72.802,15.735,4.837,28.744,5.902,237936,117670,74477,15824,52197,6707,58904,173221,108805,-4517,31022,22771,36097,10199,6792,-15,6777,5870,45084,27959,20990,20990,54.22%,-19.99%,36.36%,1138083,284617.75,50,-0.149,14.079,14.035,-23.152,39.998,98.842,50,2962611,-203.918,14.221,10190.202,-0.54,3.769
'300723',一品红,0.054,41.51,0.242,6.947,0.03 ,0.147,3.902,1.952,68.401,30.525,30.723,61.511,6.947,167503,133177,17094,13797,25931,26858,52790,114574,63006,2372,11725,23666,37103,22450,4547,-2,4545,3870,33922,16147,4000,4000,690.22%,9.36%,64.76%,2760892,1087509.13,53.13,0.298,41.884,42.058,-11.643,31.664,91.642,41.667,90339,237.082,42.718,13518.552,-0.356,4.87
'300071',华谊嘉信,-0.367,7.8,0.05,1.352,0.03 ,0.0411,0.0216,0.23,26.502,40.882,-7.66,23.302,1.344,346014,204810,3385,2914,189667,63680,253347,91702,1464,2789,-5487,-14498,68412,15731,3382,931,4313,3100,15628,67849,41700,41700,111.75%,-51.11%,61.51%,4660203,378434.09,42.19,-0.377,7.263,7.036,-44.845,38.445,99.113,41.667,11854918,-343.483,7.802,30869.174,-0.77,3.89
'300507',苏奥传感,-0.202,27.44,0.248,7.352,0.03 ,-0.0847,2.489,3.518,85.566,4.995,6.709,31.939,7.344,105019,81938,11798,1514,11571,1074,12645,89861,30425,-1036,-16444,-17494,16531,5224,3645,23,3668,3035,42996,12223,5741,5741,277.91%,-3.27%,67.63%,1595409,462988.97,53.13,-0.529,27.59,27.334,-17.951,40.597,95.497,33.333,1051665,-703.918,28.973,10669.156,-0.55,5.01
'600217',中再资环,0.127,6.15,0.0422,1.253,0.03 ,0.361,0.0112,0.564,37.757,53.058,34.707,45.889,1.25,461018,380921,46307,11232,208077,78031,286108,174067,1550,50083,-2176,19852,45737,20384,7863,203,8066,5865,78363,138866,72020,72020,70.42%,-13.90%,25.42%,5071971,327249.47,40.63,-0.035,6.244,6.136,-0.863,32.892,64.368,25,52900944,-761.196,6.292,20573.389,0.455,0.22
'002183',怡 亚 通,-0.013,7.112,0.1,2.88,0.03 ,0.375,0.607,0.98,12.885,11.646,19.022,6.717,2.793,4744390,3835078,184065,149405,3516124,348533,3864657,611328,128817,79689,3649,-43166,1835510,120938,24290,-39,24252,20751,207932,212270,212038,212038,57.17%,-14.15%,24.31%,12121743,859980,48.44,-0.066,6.846,6.83,-7.059,45.896,87.395,50,32669176,-592.304,6.95,66350.133,-0.06,0.912
'300309',吉艾科技,-0.013,22.93,0.12,3.576,0.03 ,0.152,2.047,0.438,31.419,188.135,-5.28,61.665,3.559,550876,133278,19176,1979,132719,218968,351687,173080,99076,7352,-9576,-2434,17567,10809,7739,-39,7700,5804,21188,48403,43333,43333,29.02%,-5.30%,24.01%,1257502,288957.47,46.88,-0.373,22.889,22.588,-9.717,22.252,90.431,33.333,5904560,-429.377,23.683,3888.364,-0.659,2.78
'600022',山东钢铁,0.127,2.02,0.0568,1.709,0.03 ,-0.0114,0.749,-0.109,32.195,37.318,-8.824,9.106,1.709,5810576,2033986,1284997,447575,2694412,370548,3064960,1870730,820251,-12496,-67921,-114279,1180407,98115,64405,-778,63627,62145,-119245,1094655,1068861,1068861,55.43%,-7.76%,15.53%,59243600,1291664,40.63,-0.035,2.106,2.082,-3.272,22.054,75,8.333,182831216,-286.44,2.161,324556.813,-0.438,0.06
'300429',强力新材,0.123,29.29,0.136,5.447,0.03 ,0.0999,2.752,1.605,79.223,23.894,24.453,44.154,5.442,138670,53161,30517,11508,17816,4380,22196,109858,38163,2709,-4846,4412,16755,7221,4159,55,4213,3677,43523,27119,13928,13928,122.45%,11.79%,34.69%,1705577,477505.69,53.13,0.356,29.202,29.22,-8.542,27.385,99.375,41.667,691852,-185.452,28.945,16910.768,0.227,2.48
'603607',京华激光,0.117,26.314,0.192,5.423,0.03 ,0.0884,3.326,1.026,83.897,1.502,14.068,29.108,5.423,86765,67169,8962,4159,13943,28,13972,72794,46047,1128,-1060,-9,15465,4367,2607,12,2619,2452,16729,12751,3189,3189,521.52%,-0.37%,55.32%,1663240,628895.56,56.25,0.028,26.786,26.763,-5.541,44.963,84.558,41.667,478961,-61.81,27.306,7417.181,-0.191,1.254
'601366',利群股份,0,10.25,0.18,5.454,0.03 ,0.251,2.048,2.022,58.119,37.595,5.45,21.713,5.315,807457,311271,294865,65400,324575,13384,337959,469288,176267,21597,13952,31662,307524,64331,20718,223,20941,15747,174008,86050,47503,47503,79.65%,-16.90%,27.00%,3783658,393659.75,54.69,0.015,10.064,10.212,-11.607,47.695,99.015,75,69108,-172.657,9.889,45360.32,-0.256,1.22
'000968',蓝焰控股,-0.078,10.53,0.11,3.381,0.03 ,0.0105,1.008,1.105,45.964,46.237,-4.643,40.02,3.364,711588,298327,317875,7227,269192,105580,374772,327074,97557,1017,-2767,-20771,34600,13257,13380,-5,13375,10940,106918,96750,51334,51334,64.18%,-22.94%,40.98%,3294701,394273.47,43.75,-0.594,10.365,10.242,-1.354,61.756,65.737,50,48434760,-2136.371,11.037,28681.729,-0.386,0.57
'002550',千红制药,0.086,6.26,0.066,1.89,0.03 ,0.0045,0.0307,0.732,81.778,19.397,38.725,45.571,1.871,308287,233599,60465,8236,51296,3567,54863,252111,3933,576,-2992,-1073,33809,15009,10099,87,10187,8408,103925,128000,90375,90375,51.21%,9.42%,29.42%,4627815,278748.75,53.13,0.075,6.198,6.226,-8.96,38.505,96.774,50,5665749,-435.215,6.125,45265.281,-0.124,0.6
'300243',瑞丰高材,-0.059,10.901,0.0835,2.453,0.03 ,-0.042,0.211,1.139,54.191,277.331,16.934,25.684,2.452,97512,62523,22888,6830,43382,1288,44670,52843,4455,-887,-2545,1068,29199,7308,2545,-349,2196,1764,25100,21122,16817,16817,37.38%,-10.10%,36.66%,628669,70699.41,50,-0.156,10.803,10.769,-12.842,39.181,98.174,50,6331857,-789.28,11.134,2970.447,-0.619,1.501
'002911',佛燃股份,0.015,24.94,0.15,4.148,0.03 ,0.278,1.185,1.661,47.354,47.07,19.247,18.452,4.092,522299,162944,267674,29034,165242,64333,229575,247327,65888,15477,-40396,-32847,111883,20314,13648,470,14119,8255,109025,55600,5600,5600,878.14%,-15.89%,32.28%,4917609,1292920.63,42.19,-0.437,24.888,24.794,-11.708,41.069,93.981,41.667,299274,93.691,25.634,23179.957,-0.42,3.13
'002661',克明面业,0.212,13.8,0.222,6.464,0.03 ,0.77,4.101,1.205,75.019,110.856,45.193,25.383,6.453,287428,154952,81284,14235,67645,3320,70966,215626,136803,25690,-14914,-10162,66839,16563,8846,-118,8728,7398,40200,33356,32769,32769,46.44%,-17.34%,32.16%,1521830,206258.36,39.06,-0.226,13.236,13.318,-6.863,67.812,48.867,58.333,2909686,-448.201,13.489,50059.27,-0.459,1.49
'600229',城市传媒,0.069,9,0.113,3.414,0.03 ,-0.137,0.628,1.732,67.318,22.545,7.123,40.742,3.404,356065,177096,49819,34512,112139,3899,116038,239695,44090,-9617,-6952,-16520,48916,19473,7902,42,7944,7956,121570,70210,42977,42977,90.06%,0.89%,31.77%,3870483,334820.31,54.69,0.092,8.828,8.968,-11.417,42.335,96.585,58.333,51839232,-1646.062,8.623,58321.816,-0.09,1.13
'603298',杭叉集团,-0.013,14.36,0.19,5.536,0.03 ,0.225,1.551,2.527,60.931,1.609,15.842,19.759,5.536,592792,448959,92902,19795,197865,4932,202797,361196,95964,13939,-19853,3800,185413,35679,14605,260,14865,12005,174975,61885,17059,17059,65.72%,-14.56%,20.26%,1121049,162916.42,54.69,-0.149,13.922,13.974,-11.101,43.013,95.593,41.667,2106095,-310.974,14.135,10568.452,-0.514,2.05
